Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
absf_max,Absolute Feuchte Maximalwert,"Absolute Feuchte, Maximum berechnet aus Tageswerten",g/m³
absf_max_flag,Qualitätsflag für Absolute Feuchte Maximalwert,"Qualitätsflag für Absolute Feuchte, Maximum berechnet aus Tageswerten",code
absf_min,Absolute Feuchte Minimalwert,"Absolute Feuchte, Minimum berechnet aus Tageswerten",g/m³
absf_min_flag,Qualitätsflag für Absolute Feuchte Minimalwert,"Qualitätsflag für Absolute Feuchte, Minimum berechnet aus Tageswerten",code
absf_mittel,Absolute Feuchte Mittelwert,"Absolute Feuchte, Monatsmittel berechnet aus Tageswerten",g/m³
absf_mittel_flag,Qualitätsflag für Absolute Feuchte Mittelwert,"Qualitätsflag für Absolute Feuchte, Monatsmittel berechnet aus Tageswerten",code
aequi,Äquivalenttemperatur Mittelwert,"Äquivalenttemperatur, Monatsmittel",°C
aequi_flag,Qualitätsflag für Äquivalenttemperatur Mittelwert,"Qualitätsflag für Äquivalenttemperatur, Monatsmittel",code
bet0,Lufttemperatur Beton 0cm Mittelwert,"Betontemperatur in 0 cm Tiefe, Monats-Mittelwert aus Stundenwerten",°C
bet0_flag,Qualitätsflag für Lufttemperatur Beton 0cm Mittelwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Monats-Mittelwert aus Stundenwerten",code
bet0_max,Lufttemperatur Beton 0cm Maximalwert,"Betontemperatur in 0 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
bet0_max_flag,Qualitätsflag für Lufttemperatur Beton 0cm Maximalwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Monats-Maximum aller Stundenwerte",code
bet0_min,Lufttemperatur Beton 0cm Minimalwert,"Betontemperatur in 0 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
bet0_min_flag,Qualitätsflag für Lufttemperatur Beton 0cm Minimalwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Monats-Minimum aller Stundenwerte",code
bewm_iii_mittel,Bewölkungsmenge Mittelwert zum Beobachtungtermin III,"Bewölkungsmenge, Monats-Mittelwert der Terminwerte III (18:00 UTC)",1/100
bewm_iii_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert zum Beobachtungtermin III,"Qualitätsflag für Bewölkungsmenge, Monats-Mittelwert der Terminwerte III (18:00 UTC)",code
bewm_ii_mittel,Bewölkungsmenge Mittelwert zum Beobachtungtermin II,"Bewölkungsmenge, Monats-Mittelwert der Terminwerte II (13:00 UTC)",1/100
bewm_ii_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert zum Beobachtungtermin II,"Qualitätsflag für Bewölkungsmenge, Monats-Mittelwert der Terminwerte II (13:00 UTC)",code
bewm_i_mittel,Bewölkungsmenge Mittelwert zum Beobachtungtermin I,"Bewölkungsmenge, Monats-Mittelwert der Terminwerte I (06:00 UTC)",1/100
bewm_i_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert zum Beobachtungtermin I,"Qualitätsflag für Bewölkungsmenge, Monats-Mittelwert der Terminwerte I (06:00 UTC)",code
bewm_mittel,Bewölkungsmenge Mittelwert,"Bewölkungsmenge, Monats-Mittelwert berechnet aus den Tages-Bewölkungsmittel 10*(I+II+III)/3",1/100
bewm_mittel_flag,Qualitätsflag für Bewölkungsmenge Mittelwert,"Qualitätsflag für Bewölkungsmenge, Monats-Mittelwert berechnet aus den Tages-Bewölkungsmittel 10*(I+II+III)/3",code
cglo_j,Globalstrahlung Monatssumme,"Globalstrahlung, Monatssumme aus Stundenwerten, kalibriert",J/cm²
cglo_j_flag,Qualitätsflag für Globalstrahlung Monatssumme,"Qualitätsflag für Globalstrahlung, Monatssumme aus Stundenwerten, kalibriert",code
dampf_iii_mittel,Dampfdruck Mittelwert zum Beobachtungtermin III,"Dampfdruck, Monats-Mittelwert zum Termin III (18:00 UTC)",hPa
dampf_iii_mittel_flag,Qualitätsflag für Dampfdruck Mittelwert zum Beobachtungtermin III,"Qualitätsflag für Dampfdruck, Monats-Mittelwert zum Termin III (18:00 UTC)",code
dampf_ii_mittel,Dampfdruck Mittelwert zum Beobachtungtermin II,"Dampfdruck, Monats-Mittelwert zum Termin II (13:00 UTC)",hPa
dampf_ii_mittel_flag,Qualitätsflag für Dampfdruck Mittelwert zum Beobachtungtermin II,"Qualitätsflag für Dampfdruck, Monats-Mittelwert zum Termin II (13:00 UTC)",code
dampf_i_mittel,Dampfdruck Mittelwert zum Beobachtungtermin I,"Dampfdruck, Monats-Mittelwert zum Termin I (06:00 UTC)",hPa
dampf_i_mittel_flag,Qualitätsflag für Dampfdruck Mittelwert zum Beobachtungtermin I,"Qualitätsflag für Dampfdruck, Monats-Mittelwert zum Termin I (06:00 UTC)",code
dampf_mittel,Dampfdruck Mittelwert,"Dampfdruck, Monats-Mittelwert aus Tageswerten",hPa
dampf_mittel_flag,Qualitätsflag für Dampfdruck Mittelwert,"Qualitätsflag für Dampfdruck, Monats-Mittelwert aus Tageswerten",code
efftemp,Effektivtemperatur Mittelwert,"Effektivtemperatur, Monats-Mittelwert aus Tageswerten",°C
efftemp_flag,Qualitätsflag für Effektivtemperatur Mittelwert,"Qualitätsflag für Effektivtemperatur, Monats-Mittelwert aus Tageswerten",code
enth,Enthalpie Mittelwert,"Enthalphie, Monats-Mittelwert aus Tageswerten",kJ/kg
enth_flag,Qualitätsflag für Enthalpie Mittelwert,"Qualitätsflag für Enthalphie, Monats-Mittelwert aus Tageswerten",code
feuchtt,Feuchttemperatur Mittelwert,"Feuchttemperatur, Monats-Mittelwert aus Tageswerten",°C
feuchtt_flag,Qualitätsflag für Feuchttemperatur Mittelwert,"Qualitätsflag für Feuchttemperatur, Monats-Mittelwert aus Tageswerten",code
gradt,Gradtagszahl (20/12),Gradtagszahl 20/12,°C
gradt_flag,Qualitätsflag für Gradtagszahl (20/12),Qualitätsflag für Gradtagszahl 20/12,code
gras0,Erdbodentemperatur 0 cm Mittelwert,"Erdbodentemperatur in der Tiefe 0 cm, Mittel aller Stundenwerte",°C
gras0_flag,Qualitätsflag für Erdbodentemperatur 0 cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in der Tiefe 0 cm, Mittel aller Stundenwerte",code
gras0_max,Erdbodentemperatur 0 cm Maximalwert,"Erdbodentemperatur in der Tiefe 0 cm, Maximum aller Stundenwerte",°C
gras0_max_flag,Qualitätsflag für Erdbodentemperatur 0 cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in der Tiefe 0 cm, Maximum aller Stundenwerte",code
gras0_min,Erdbodentemperatur 0 cm Minimalwert,"Erdbodentemperatur in der Tiefe 0 cm, Minimum aller Stundenwerte",°C
gras0_min_flag,Qualitätsflag für Erdbodentemperatur 0 cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in der Tiefe 0 cm, Minimum aller Stundenwerte",code
misch,Mischungsverhältnis Mittelwert,"Mischungsverhältnis,  Monats-Mittelwert aus Tageswerten",g/m³
misch_flag,Qualitätsflag für Mischungsverhältnis Mittelwert,"Qualitätsflag für Mischungsverhältnis,  Monats-Mittelwert aus Tageswerten",code
p,Luftdruck Mittelwert,"Luftdruck, Monatsmittel der Terminwerte",hPa
p_flag,Qualitätsflag für Luftdruck Mittelwert,"Qualitätsflag für Luftdruck, Monatsmittel der Terminwerte",code
pmax,Luftdruck Maximalwert,"Luftdruck, Maximum aller Terminwerte",hPa
pmax_flag,Qualitätsflag für Luftdruck Maximalwert,"Qualitätsflag für Luftdruck, Maximum aller Terminwerte",code
pmin,Luftdruck Minimalwert,"Luftdruck, Minimum aller Terminwerte",hPa
pmin_flag,Qualitätsflag für Luftdruck Minimalwert,"Qualitätsflag für Luftdruck, Minimum aller Terminwerte",code
rf_iii_mittel,Relative Feuchte Mittelwert zum Beobachtungtermin III,"Relative Feuchte, Monats-Mittelwert zum Terminwert III (18:00 UTC)",%
rf_iii_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert zum Beobachtungtermin III,"Qualitätsflag für Relative Feuchte, Monats-Mittelwert zum Terminwert III (18:00 UTC)",code
rf_ii_mittel,Relative Feuchte Mittelwert zum Beobachtungtermin II,"Relative Feuchte, Monats-Mittelwert zum Terminwert II (13:00 UTC)",%
rf_ii_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert zum Beobachtungtermin II,"Qualitätsflag für Relative Feuchte, Monats-Mittelwert zum Terminwert II (13:00 UTC)",code
rf_i_mittel,Relative Feuchte Mittelwert zum Beobachtungtermin I,"Relative Feuchte, Monats-Mittelwert zum Terminwert I (06:00 UTC)",%
rf_i_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert zum Beobachtungtermin I,"Qualitätsflag für Relative Feuchte, Monats-Mittelwert zum Terminwert I (06:00 UTC)",code
rf_mittel,Relative Feuchte Mittelwert,"Relativen Feuchte, Monats-Mittelwert aller Tagesmittel",%
rf_mittel_flag,Qualitätsflag für Relative Feuchte Mittelwert,"Qualitätsflag für Relativen Feuchte, Monats-Mittelwert aller Tagesmittel",code
rr,Niederschlag Summe der 24h-Summen,"Niederschlag, Monatssumme aus 24-Stundensummen zum Terminwert I (6 UTC)",mm
rr_flag,Qualitätsflag für Niederschlag Summe der 24h-Summen,"Qualitätsflag für Niederschlag, Monatssumme aus 24-Stundensummen zum Terminwert I (6 UTC)",code
rr_i,"Niederschlag Summe der 12h Summen, 18-6 UTC","Niederschlag, 12-stündige Monatssumme 18 - 6 UTC in mm",mm
rr_i_flag,"Qualitätsflag für Niederschlag Summe der 12h Summen, 18-6 UTC","Qualitätsflag für Niederschlag, 12-stündige Monatssumme 18 - 6 UTC in mm",code
rr_iii,"Niederschlag Summe der 12h Summen, 6-18 UTC","Niederschlag, 12-stündige Monatssumme 6 - 18 UTC  in mm",mm
rr_iii_flag,"Qualitätsflag für Niederschlag Summe der 12h Summen, 6-18 UTC","Qualitätsflag für Niederschlag, 12-stündige Monatssumme 6 - 18 UTC  in mm",code
rr_max,Niederschlag Maximalwert,"Niederschlag, Monats-Maximum der 24-Stundensummen zum Termin I (6 UTC)",mm
rr_max_flag,Qualitätsflag für Niederschlag Maximalwert,"Qualitätsflag für Niederschlag, Monats-Maximum der 24-Stundensummen zum Termin I (6 UTC)",code
sh_manu_max,Gesamtschneehöhe Maximalwert,"Gesamtschneehöhe, Monats-Maximum der Tageswerte",cm
sh_manu_max_flag,Qualitätsflag für Gesamtschneehöhe Maximalwert,"Qualitätsflag für Gesamtschneehöhe, Monats-Maximum der Tageswerte",code
shneu_manu,Neuschneehöhe Summe,"Neuschneehöhe, Monatssumme der Tageswerte zum Terminwert I (6 UTC)",cm
shneu_manu_flag,Qualitätsflag für Neuschneehöhe Summe,"Qualitätsflag für Neuschneehöhe, Monatssumme der Tageswerte zum Terminwert I (6 UTC)",code
shneu_manu_max,Neuschneehöhe Maximalwert,"Neuschneehöhe, Monats-Maximum der Tageswerte zum Terminwert I (6 UTC)",cm
shneu_manu_max_flag,Qualitätsflag für Neuschneehöhe Maximalwert,"Qualitätsflag für Neuschneehöhe, Monats-Maximum der Tageswerte zum Terminwert I (6 UTC)",code
so_h,Sonnenscheindauer,"Sonnenscheindauer, Monatssumme der Stundenwerte",h
so_h_flag,Qualitätsflag für Sonnenscheindauer,"Qualitätsflag für Sonnenscheindauer, Monatssumme der Stundenwerte",code
so_r,Sonnenscheindauer Monatsauswertung zum Anteil an effektiv möglicher,"Sonnenscheindauer, Anteil der monatlichen Sonnenscheindauer an effektiv möglicher Sonnenscheindauer in Prozent",%
so_r_flag,Qualitätsflag für Sonnenscheindauer Monatsauswertung zum Anteil an effektiv möglicher,"Qualitätsflag für Sonnenscheindauer, Anteil der monatlichen Sonnenscheindauer an effektiv möglicher Sonnenscheindauer in Prozent",code
tag_absf_max,Absolute Feuchte Tag Maximalwert,"Absolute Feuchte, Tag des Maximalwertes", 
tag_absf_max_flag,Qualitätsflag für Absolute Feuchte Tag Maximalwert,"Qualitätsflag für Absolute Feuchte, Tag des Maximalwertes",code
tag_absf_min,Absolute Feuchte Tag Minimalwert,"Absolute Feuchte, Tag des Minimalwertes", 
tag_absf_min_flag,Qualitätsflag für Absolute Feuchte Tag Minimalwert,"Qualitätsflag für Absolute Feuchte, Tag des Minimalwertes",code
tag_bet0_max,Lufttemperatur Beton 0cm Tag Maximalwert,"Betontemperatur in 0 cm Tiefe, Tag des Maximums", 
tag_bet0_max_flag,Qualitätsflag für Lufttemperatur Beton 0cm Tag Maximalwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Tag des Maximums",code
tag_bet0_min,Lufttemperatur Beton 0cm Tag Minimalwert,"Betontemperatur in 0 cm Tiefe, Tag des Minimums", 
tag_bet0_min_flag,Qualitätsflag für Lufttemperatur Beton 0cm Tag Minimalwert,"Qualitätsflag für Betontemperatur in 0 cm Tiefe, Tag des Minimums",code
tage_ddc,Windstille Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Calmen = Windstille", 
tage_ddc_flag,Qualitätsflag für Windstille Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Calmen = Windstille",code
tage_dde,Windrichtung Ost Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Ost", 
tage_dde_flag,Qualitätsflag für Windrichtung Ost Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Ost",code
tage_ddn,Windrichtung Nord Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Nord", 
tage_ddne,Windrichtung Nordost Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Nordost", 
tage_ddne_flag,Qualitätsflag für Windrichtung Nordost Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Nordost",code
tage_ddn_flag,Qualitätsflag für Windrichtung Nord Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Nord",code
tage_ddnw,Windrichtung Nordwest Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Nordwest", 
tage_ddnw_flag,Qualitätsflag für Windrichtung Nordwest Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Nordwest",code
tage_dds,Windrichtung Süd Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Süd", 
tage_ddse,Windrichtung Südost Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Südost", 
tage_ddse_flag,Qualitätsflag für Windrichtung Südost Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Südost",code
tage_dds_flag,Qualitätsflag für Windrichtung Süd Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Süd",code
tage_ddsw,Windrichtung Südwest Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor Südwest", 
tage_ddsw_flag,Qualitätsflag für Windrichtung Südwest Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor Südwest",code
tage_ddw,Windrichtung West Anzahl der Termine,"Windrichtung, Anzahl der Termine mit Windrichtung Sektor West", 
tage_ddw_flag,Qualitätsflag für Windrichtung West Anzahl der Termine,"Qualitätsflag für Windrichtung, Anzahl der Termine mit Windrichtung Sektor West",code
tage_eis,Eistage,"Zahl der Eistage, 24-Stunden-Maximalwert der Lufttemperatur in 2m Höhe < 0.0 °C",d
tage_eis_flag,Qualitätsflag für Eistage,"Qualitätsflag für Zahl der Eistage, 24-Stunden-Maximalwert der Lufttemperatur in 2m Höhe < 0.0 °C",code
tage_eschwuel,Etwas schwüle Tage,Zahl der etwas schwülen Tage mit Äquivalenttemperatur >=49.1 und <=56.0 °C,d
tage_eschwuel_flag,Qualitätsflag für Etwas schwüle Tage,Qualitätsflag für Zahl der etwas schwülen Tage mit Äquivalenttemperatur >=49.1 und <=56.0 °C,code
tage_festrr,Niederschlagsumme fest,"Niederschlag fest, Monatssumme aus Tageswerten",mm
tage_festrr_flag,Qualitätsflag für Niederschlagsumme fest,"Qualitätsflag für Niederschlag fest, Monatssumme aus Tageswerten",code
tage_festrrp,Niederschlag Anteil % fest,"Niederschlag, Anteil des festen am gesamten Niederschlag (aus Tageswerten)",%
tage_festrrp_flag,Qualitätsflag für Niederschlag Anteil % fest,"Qualitätsflag für Niederschlag, Anteil des festen am gesamten Niederschlag (aus Tageswerten)",code
tage_ffx_100,Windgeschwindigkeit Tage >= 100 km/h,Zahl der Tage mit Windspitze >= 100 km/h,d
tage_ffx_100_flag,Qualitätsflag für Windgeschwindigkeit Tage >= 100 km/h,Qualitätsflag für Zahl der Tage mit Windspitze >= 100 km/h,code
tage_ffx_60,Windgeschwindigkeit Tage >= 60 km/h,Zahl der Tage mit Windspitze >= 60 km/h,d
tage_ffx_60_flag,Qualitätsflag für Windgeschwindigkeit Tage >= 60 km/h,Qualitätsflag für Zahl der Tage mit Windspitze >= 60 km/h,code
tage_ffx_70,Windgeschwindigkeit Tage >= 70 km/h,Zahl der Tage mit Windspitze >= 70 km/h,d
tage_ffx_70_flag,Qualitätsflag für Windgeschwindigkeit Tage >= 70 km/h,Qualitätsflag für Zahl der Tage mit Windspitze >= 70 km/h,code
tage_ffx_80,Windgeschwindigkeit Tage >= 80 km/h,Zahl der Tage mit Windspitze >= 80 km/h,d
tage_ffx_80_flag,Qualitätsflag für Windgeschwindigkeit Tage >= 80 km/h,Qualitätsflag für Zahl der Tage mit Windspitze >= 80 km/h,code
tage_frost,Frosttage,"Zahl der Frosttage, 24-Stunden-Minimalwert der Lufttemperatur in 2m Höhe < 0.0 °C",d
tage_frost_flag,Qualitätsflag für Frosttage,"Qualitätsflag für Zahl der Frosttage, 24-Stunden-Minimalwert der Lufttemperatur in 2m Höhe < 0.0 °C",code
tage_gew,Gewittertage,Zahl der Tage mit Gewitter,d
tage_gew_flag,Qualitätsflag für Gewittertage,Qualitätsflag für Zahl der Tage mit Gewitter,code
tage_graupel,Tage mit Graupel,Zahl der Tage mit Graupel,d
tage_graupel_flag,Qualitätsflag für Tage mit Graupel,Qualitätsflag für Zahl der Tage mit Graupel,code
tage_hagel,Tage mit Hagel,Zahl der Tage mit Hagel,d
tage_hagel_flag,Qualitätsflag für Tage mit Hagel,Qualitätsflag für Zahl der Tage mit Hagel,code
tage_heit,Heitere Tage,"Zahl der heiteren Tage, Bewölkungsmenge (24-Stunden-Mittelwert) < 20/100",d
tage_heit_flag,Qualitätsflag für Heitere Tage,"Qualitätsflag für Zahl der heiteren Tage, Bewölkungsmenge (24-Stunden-Mittelwert) < 20/100",code
tage_ht,Heiztage (20/12),Zahl der Heiztage 20/12,d
tage_ht_flag,Qualitätsflag für Heiztage (20/12),Qualitätsflag für Zahl der Heiztage 20/12,code
tage_nebel,Tage mit Nebel,Zahl der Tage mit Nebel,d
tage_nebel_flag,Qualitätsflag für Tage mit Nebel,Qualitätsflag für Zahl der Tage mit Nebel,code
tage_raureif,Tage mit Raureif,Zahl der Tage mit Raureif,d
tage_raureif_flag,Qualitätsflag für Tage mit Raureif,Qualitätsflag für Zahl der Tage mit Raureif,code
tage_reif,Tage mit Reif,Zahl der Tage mit Reif,d
tage_reif_flag,Qualitätsflag für Tage mit Reif,Qualitätsflag für Zahl der Tage mit Reif,code
tage_rr_01,Niederschlag Tage >= 0.1mm,Zahl der Tage mit Niederschlag mindestens 0.1 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),d
tage_rr_01_flag,Qualitätsflag für Niederschlag Tage >= 0.1mm,Qualitätsflag für Zahl der Tage mit Niederschlag mindestens 0.1 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),code
tage_rr_1,Niederschlag Tage >= 1mm,Zahl der Tage mit Niederschlag mindestens 1 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),d
tage_rr_10,Niederschlag Tage >=10mm,Zahl der Tage mit Niederschlag mindestens 10 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),d
tage_rr_10_flag,Qualitätsflag für Niederschlag Tage >=10mm,Qualitätsflag für Zahl der Tage mit Niederschlag mindestens 10 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),code
tage_rr_15,Niederschlag Tage >=15mm,Zahl der Tage mit Niederschlagssumme >=15 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),d
tage_rr_15_flag,Qualitätsflag für Niederschlag Tage >=15mm,Qualitätsflag für Zahl der Tage mit Niederschlagssumme >=15 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),code
tage_rr_1_flag,Qualitätsflag für Niederschlag Tage >= 1mm,Qualitätsflag für Zahl der Tage mit Niederschlag mindestens 1 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),code
tage_rr_20,Niederschlag Tage >=20mm,Zahl der Tage mit Niederschlagssumme >=20 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),d
tage_rr_20_flag,Qualitätsflag für Niederschlag Tage >=20mm,Qualitätsflag für Zahl der Tage mit Niederschlagssumme >=20 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),code
tage_rr_30,Niederschlag Tage >=30mm,Zahl der Tage mit Niederschlagssumme >=30 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),d
tage_rr_30_flag,Qualitätsflag für Niederschlag Tage >=30mm,Qualitätsflag für Zahl der Tage mit Niederschlagssumme >=30 mm (Auswertung der 24-Stundensummen zum Termin I  6:00 UTC),code
